ubigeo,nombre,poblacion,idh,esperanza_vida,pob_secundaria_completa,educacion,ingreso_pc
0,PERÚ ,31296142,0.59,75.42,67.67,9.14,1032.16
10000,AMAZONAS,397469,0.42,68.95,45.48,6.47,669.45
20000,ANCASH,1118249,0.52,74.93,63.24,8.02,807.83
30000,APURÍMAC,429283,0.41,69.78,65.47,6.71,516.79
40000,AREQUIPA,1383158,0.64,77.59,75.89,10.04,1159.48
50000,AYACUCHO,696863,0.43,73.17,62.94,6.92,557.32
60000,CAJAMARCA,1436281,0.43,73.32,51.20,6.27,620.52
80000,CUSCO,1289338,0.51,72.41,71.77,8.32,764.59
90000,HUANCAVELICA,428225,0.38,74.18,58.61,6.03,442.13
100000,HUÁNUCO,811839,0.45,72.52,57.84,7.03,664.28
110000,ICA,843248,0.60,76.81,73.50,10.03,979.41
120000,JUNÍN,1323404,0.51,72.94,67.30,8.63,757.26
130000,LA LIBERTAD,1908023,0.55,76.89,60.84,8.32,923.85
140000,LAMBAYEQUE,1264268,0.53,77.58,69.25,8.50,785.55
150000,LIMA,10165130,0.71,77.66,75.52,10.49,1497.00
160000,LORETO,984787,0.48,74.14,43.95,8.55,778.70
170000,MADRE DE DIOS,146851,0.61,74.51,63.95,8.81,1262.74
180000,MOQUEGUA,182582,0.66,76.09,73.86,9.84,1315.93
190000,PASCO,290426,0.48,73.13,67.81,8.29,639.47
200000,PIURA,1935458,0.51,77.05,62.43,7.92,774.43
210000,PUNO,1310609,0.47,74.12,73.84,7.76,580.80
220000,SAN MARTÍN,839772,0.48,71.04,52.72,7.25,841.03
230000,TACNA,348573,0.59,74.86,72.77,9.73,990.84
240000,TUMBES,237586,0.56,72.66,68.14,8.92,943.37
250000,UCAYALI,480262,0.48,70.64,49.51,8.38,799.80